id,question,answer
1,What is the past tense of "arise"?,arose
2,What is the past participle of "arise"?,arisen
3,What is the past tense of "awake"?,awoke
4,What is the past participle of "awake"?,awoken
5,What is the past tense of "be"?,was/were
6,What is the past participle of "be"?,been
7,What is the past tense of "bear"?,bore
8,What is the past participle of "bear"?,borne/born
9,What is the past tense of "beat"?,beat
10,What is the past participle of "beat"?,beaten
11,What is the past tense of "become"?,became
12,What is the past participle of "become"?,become
13,What is the past tense of "begin"?,began
14,What is the past participle of "begin"?,begun
15,What is the past tense of "bend"?,bent
16,What is the past participle of "bend"?,bent
17,What is the past tense of "bet"?,bet
18,What is the past participle of "bet"?,bet/betted
19,What is the past tense of "bid"?,bid
20,What is the past participle of "bid"?,bid/bidden
21,What is the past tense of "bind"?,bound
22,What is the past participle of "bind"?,bound
23,What is the past tense of "bite"?,bit
24,What is the past participle of "bite"?,bitten
25,What is the past tense of "bleed"?,bled
26,What is the past participle of "bleed"?,bled
27,What is the past tense of "blow"?,blew
28,What is the past participle of "blow"?,blown
29,What is the past tense of "break"?,broke
30,What is the past participle of "break"?,broken
31,What is the past tense of "breed"?,bred
32,What is the past participle of "breed"?,bred
33,What is the past tense of "bring"?,brought
34,What is the past participle of "bring"?,brought
35,What is the past tense of "broadcast"?,broadcast
36,What is the past participle of "broadcast"?,broadcast
37,What is the past tense of "build"?,built
38,What is the past participle of "build"?,built
39,What is the past tense of "burn"?,burned/burnt
40,What is the past participle of "burn"?,burned/burnt
41,What is the past tense of "burst"?,burst
42,What is the past participle of "burst"?,burst
43,What is the past tense of "buy"?,bought
44,What is the past participle of "buy"?,bought
45,What is the past tense of "cast"?,cast
46,What is the past participle of "cast"?,cast
47,What is the past tense of "catch"?,caught
48,What is the past participle of "catch"?,caught
49,What is the past tense of "choose"?,chose
50,What is the past participle of "choose"?,chosen
51,What is the past tense of "cling"?,clung
52,What is the past participle of "cling"?,clung
53,What is the past tense of "come"?,came
54,What is the past participle of "come"?,come
55,What is the past tense of "cost"?,cost
56,What is the past participle of "cost"?,cost
57,What is the past tense of "creep"?,crept
58,What is the past participle of "creep"?,crept
59,What is the past tense of "cut"?,cut
60,What is the past participle of "cut"?,cut
61,What is the past tense of "deal"?,dealt
62,What is the past participle of "deal"?,dealt
63,What is the past tense of "dig"?,dug
64,What is the past participle of "dig"?,dug
65,What is the past tense of "dive"?,dived/dove
66,What is the past participle of "dive"?,dived
67,What is the past tense of "do"?,did
68,What is the past participle of "do"?,done
69,What is the past tense of "draw"?,drew
70,What is the past participle of "draw"?,drawn
71,What is the past tense of "dream"?,dreamed/dreamt
72,What is the past participle of "dream"?,dreamed/dreamt
73,What is the past tense of "drink"?,drank
74,What is the past participle of "drink"?,drunk
75,What is the past tense of "drive"?,drove
76,What is the past participle of "drive"?,driven
77,What is the past tense of "dwell"?,dwelt/dwelled
78,What is the past participle of "dwell"?,dwelt/dwelled
79,What is the past tense of "eat"?,ate
80,What is the past participle of "eat"?,eaten
81,What is the past tense of "fall"?,fell
82,What is the past participle of "fall"?,fallen
83,What is the past tense of "feed"?,fed
84,What is the past participle of "feed"?,fed
85,What is the past tense of "feel"?,felt
86,What is the past participle of "feel"?,felt
87,What is the past tense of "fight"?,fought
88,What is the past participle of "fight"?,fought
89,What is the past tense of "find"?,found
90,What is the past participle of "find"?,found
91,What is the past tense of "flee"?,fled
92,What is the past participle of "flee"?,fled
93,What is the past tense of "fling"?,flung
94,What is the past participle of "fling"?,flung
95,What is the past tense of "fly"?,flew
96,What is the past participle of "fly"?,flown
97,What is the past tense of "forbid"?,forbade
98,What is the past participle of "forbid"?,forbidden
99,What is the past tense of "forget"?,forgot
100,What is the past participle of "forget"?,forgotten
101,What is the past tense of "forgive"?,forgave
102,What is the past participle of "forgive"?,forgiven
103,What is the past tense of "forsake"?,forsook
104,What is the past participle of "forsake"?,forsaken
105,What is the past tense of "freeze"?,froze
106,What is the past participle of "freeze"?,frozen
107,What is the past tense of "get"?,got
108,What is the past participle of "get"?,gotten/got
109,What is the past tense of "give"?,gave
110,What is the past participle of "give"?,given
111,What is the past tense of "go"?,went
112,What is the past participle of "go"?,gone
113,What is the past tense of "grind"?,ground
114,What is the past participle of "grind"?,ground
115,What is the past tense of "grow"?,grew
116,What is the past participle of "grow"?,grown
117,What is the past tense of "hang"?,hung
118,What is the past participle of "hang"?,hung
119,What is the past tense of "have"?,had
120,What is the past participle of "have"?,had
121,What is the past tense of "hear"?,heard
122,What is the past participle of "hear"?,heard
123,What is the past tense of "hide"?,hid
124,What is the past participle of "hide"?,hidden
125,What is the past tense of "hit"?,hit
126,What is the past participle of "hit"?,hit
127,What is the past tense of "hold"?,held
128,What is the past participle of "hold"?,held
129,What is the past tense of "hurt"?,hurt
130,What is the past participle of "hurt"?,hurt
131,What is the past tense of "keep"?,kept
132,What is the past participle of "keep"?,kept
133,What is the past tense of "kneel"?,knelt/kneeled
134,What is the past participle of "kneel"?,knelt/kneeled
135,What is the past tense of "knit"?,knit/knitted
136,What is the past participle of "knit"?,knit/knitted
137,What is the past tense of "know"?,knew
138,What is the past participle of "know"?,known
139,What is the past tense of "lay"?,laid
140,What is the past participle of "lay"?,laid
141,What is the past tense of "lead"?,led
142,What is the past participle of "lead"?,led
143,What is the past tense of "lean"?,leaned/leant
144,What is the past participle of "lean"?,leaned/leant
145,What is the past tense of "leap"?,leaped/leapt
146,What is the past participle of "leap"?,leaped/leapt
147,What is the past tense of "learn"?,learned/learnt
148,What is the past participle of "learn"?,learned/learnt
149,What is the past tense of "leave"?,left
150,What is the past participle of "leave"?,left
151,What is the past tense of "lend"?,lent
152,What is the past participle of "lend"?,lent
153,What is the past tense of "let"?,let
